Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Hernandez-Kennedy,http://rowe-hayes.com/,Retail,EHR Systems,B2B2C,411,$500K-$1M,2009,B,South Nicole,OR,001-402-573-4563,,Brent,Elliott,Physiological scientist,,907.727.9775x182,,scraped,10
Le-Stevens,http://www.kennedy-williams.com/,Retail,CRM,B2C,423,$50M+,1996,B,North Susan,WA,+1-234-381-8596x2520,,Anna,Yates,Clothing/textile technologist,,(353)998-5314x6237,,scraped,10
"Diaz, Mendez and Rodgers",http://morris.info/,Education,CRM,B2B2C,906,$50M+,2006,C,East Stevenville,NM,407.839.4039,http://edwards.net/,Samantha,Graves,Clinical cytogeneticist,http://harding-lopez.com/,1004770405,,manual,20
Campbell-Jackson,https://phillips-gibson.biz/,Retail,Custom Software,B2B2C,327,$10M-$50M,2002,A,Lake Kristin,AR,(757)764-6640,,Jason,Anderson,"Engineer, aeronautical",,001-737-138-3901,,manual,33
Wise-Bennett,https://walls-henderson.com/,Software Development,Custom Software,B2B2C,64,$500K-$1M,1994,NR,Craigborough,DC,001-284-692-2907,http://fuller-conner.com/,Thomas,Sweeney,Curator,https://www.harris.biz/,+1-708-875-9998x828,christinagrant@yahoo.com,manual,40
Carpenter-Johnson,http://www.martin.org/,Education,CRM,B2C,811,$1M-$10M,1998,A,South Ericfort,SC,(368)958-3034x31568,http://www.allen.org/,Robert,Watts,Forensic scientist,https://mitchell-campbell.com/,(871)100-2602x905,anthonythompson@yahoo.com,scraped,38
Oliver Group,http://miller-martin.com/,Real Estate,Accounting Tools,B2B2C,934,$1M-$10M,2015,B,West Matthewfort,TX,(476)855-1253,http://www.montoya-osborn.com/,Hayden,Mendez,Energy engineer,https://www.rodriguez.biz/,167.257.7409,,manual,30
"Pearson, Parrish and Scott",http://www.baird.com/,Retail,e-Learning,B2B2C,365,$50M+,2017,A,Pattonville,IN,+1-811-370-8407x9327,,Andrew,Jenkins,Occupational therapist,,001-857-919-1454,,scraped,18
Hurley-Mcknight,https://www.taylor.com/,Education,Custom Software,B2B,860,$50M+,1995,C,Lake Jamesview,LA,737.328.1555,http://mckinney.com/,Jennifer,Lopez,Lexicographer,http://www.thompson-mueller.com/,770-588-3310,,manual,30
Sanders-Cantu,https://mcneil-todd.info/,Education,Accounting Tools,B2B,851,$10M-$50M,2017,B,Wolfefurt,ND,001-793-088-3533,,Jennifer,Martinez,Holiday representative,,(591)984-1473x939,djones@gmail.com,manual,40
Phillips and Sons,https://www.lopez-white.net/,Healthcare,Custom Software,B2B,195,$1M-$10M,1992,NR,Thomasstad,AL,(818)445-8301x134,http://www.carey.com/,James,Wiggins,Commercial horticulturist,https://dixon.com/,001-466-482-9176x15326,,scraped,35
"Pearson, Aguilar and Schroeder",http://www.edwards.net/,Healthcare,Accounting Tools,B2B,312,$1M-$10M,2024,B,Melvinmouth,CA,869-937-2726,https://www.patterson-brooks.com/,Heather,Davis,Exercise physiologist,http://ross.net/,903.825.0161x02990,gatesgary@gmail.com,scraped,35
"Frederick, Hudson and Roberts",https://adams.net/,Finance,EHR Systems,B2B2C,244,$50M+,2008,B,Lake Sheriburgh,NH,452.776.0703,,Jennifer,Avery,Hydrographic surveyor,,968.933.8876,,scraped,10
Jones-Baker,http://www.griffith.biz/,Education,Mobile Apps,B2C,571,$50M+,2015,A,Josephburgh,NE,739.819.2978x0201,,Emily,Oconnor,"Designer, furniture",,(972)677-5939,,manual,23
"Greene, Allen and Mcgee",https://davidson-morales.biz/,Education,CRM,B2B2C,62,$50M+,2007,NR,West Dawnview,DE,001-899-234-6271x342,http://www.jones.com/,Jamie,Green,Interpreter,http://perez-martin.biz/,+1-679-694-8953x521,,scraped,20
"Hudson, Wolfe and Arnold",http://lopez.biz/,Education,Accounting Tools,B2C,91,$500K-$1M,2008,C,Watersstad,FL,141.586.8975,,Steven,Welch,Camera operator,,001-333-366-3510x18031,,scraped,15
"Adams, Fowler and Esparza",https://www.nash.com/,Retail,e-Learning,B2B,961,$500K-$1M,2014,A,New Timothy,MN,001-574-699-5431x073,http://www.wilcox-garcia.info/,Nathan,Parker,Restaurant manager,https://chen-bush.info/,764-289-5552x9897,,manual,38
"Morris, Higgins and Cruz",http://turner.com/,Retail,Custom Software,B2B2C,25,$1M-$10M,2017,C,Port Richard,VT,268-760-4556x628,http://www.kelly-johnson.com/,Joseph,Smith,"Engineer, broadcasting (operations)",http://berry.org/,(727)420-7945x9996,,manual,35
"Charles, Smith and Mercer",https://www.clark-burton.com/,Healthcare,Accounting Tools,B2B,574,$500K-$1M,1991,NR,Thomasland,KY,622.327.2515,,Laura,Davis,"Surveyor, quantity",,6143532829,,scraped,20
"Flores, Davila and Carter",https://www.martin.com/,Education,Mobile Apps,B2B2C,395,$50M+,2024,B,Seanmouth,ME,+1-972-037-1655x0731,,Dustin,Li,Games developer,,(711)159-1715x764,,scraped,5
"Lawrence, Garcia and Sanchez",https://cobb.com/,Healthcare,e-Learning,B2B,980,$500K-$1M,2003,A+,Carolborough,UT,072.901.2785,,Jay,Armstrong,Production manager,,001-374-988-8347x8344,,manual,35
"Marsh, Luna and Brown",https://www.lee.com/,Education,Mobile Apps,B2C,523,$1M-$10M,2001,NR,South Lisa,MI,331-497-1513x723,,Rebecca,Flores,Advertising account planner,,195.098.5137,,manual,25
Jordan-Brown,http://walker.com/,Real Estate,Accounting Tools,B2C,9,$10M-$50M,2001,A,Benjaminbury,AL,(923)394-7406,https://poole.info/,Shawn,Hall,Textile designer,http://www.moreno.com/,001-620-258-5497x43436,nathan38@hobbs.com,manual,38
Braun-Norris,https://www.wolfe-bennett.biz/,Education,Accounting Tools,B2B,859,$500K-$1M,2023,C,North Annchester,OR,568.524.5948,,Stephanie,Little,Automotive engineer,,001-878-632-5598x419,,scraped,15
Moore-Conner,http://morris.info/,Retail,EHR Systems,B2B,838,$500K-$1M,1991,NR,Erictown,FL,680.639.3685x639,https://knapp.net/,Timothy,Rowe,"Production assistant, radio",http://acevedo-hernandez.org/,001-531-016-9388,dlopez@hotmail.com,manual,35
May-Williams,https://lewis.info/,Real Estate,Mobile Apps,B2C,810,$1M-$10M,1994,NR,New Joseph,OK,630.584.6057,,Morgan,Kramer,"Clinical scientist, histocompatibility and immunogenetics",,587-952-9722,ovega@tran-goodman.net,manual,30
Hernandez and Sons,http://www.porter.info/,Real Estate,Mobile Apps,B2B2C,174,$50M+,2000,C,East Jose,HI,(223)902-9504x885,http://roberts.info/,Meagan,Wagner,"Scientist, marine",https://www.juarez.com/,(013)962-0154x713,,manual,20
"Evans, Wong and Wheeler",http://johnson.com/,Real Estate,Custom Software,B2C,123,$50M+,1992,NR,Bowersstad,MS,001-909-841-3245x4648,,Edward,Green,"Scientist, water quality",,(232)316-0558,raymond22@gmail.com,manual,20
Bowman-Chambers,http://smith.info/,Real Estate,Accounting Tools,B2B,583,$10M-$50M,2006,A,Batesside,DC,848-796-1919x61218,http://harris.com/,Denise,Morales,Phytotherapist,http://adams.com/,411.506.4634,,scraped,43
Sanchez Group,https://www.hardy-myers.biz/,Software Development,Accounting Tools,B2B,714,$500K-$1M,1992,C,Foleyfurt,NV,(788)717-3626x886,https://martinez.com/,Nancy,Robinson,Insurance risk surveyor,http://moore-lopez.org/,001-530-181-2017,,manual,40
Smith Group,https://www.gonzalez-lopez.net/,Retail,EHR Systems,B2C,215,$1M-$10M,2023,B,Port Megan,MN,001-314-236-5368x65456,,Walter,Klein,Astronomer,,001-172-846-6030x356,angela53@gmail.com,scraped,20
Brown-Scott,https://hart-ruiz.info/,Healthcare,Accounting Tools,B2C,674,$1M-$10M,2019,C,Odomside,KY,314.135.2205,,Yolanda,Douglas,"Development worker, community",,(473)716-4759,thompsonthomas@stanley.info,scraped,25
Pham-Carpenter,http://pacheco.org/,Real Estate,Custom Software,B2B2C,973,$1M-$10M,2001,B,West Amber,CA,+1-671-017-8224x7881,,Randall,Flores,Technical author,,+1-322-866-7236x35394,williamburnett@joseph-higgins.org,manual,30
"Duncan, Wiggins and Anderson",https://small.com/,Healthcare,Mobile Apps,B2C,791,$1M-$10M,1998,C,Elainemouth,LA,(343)853-9187x210,,Bobby,Hernandez,"Sales professional, IT",,071.598.7032x364,william03@bridges-graham.com,scraped,25
Anderson and Sons,https://powell-ferguson.com/,Finance,Custom Software,B2B,837,$10M-$50M,2013,A,Lake Linda,DE,7255412454,http://www.thomas.biz/,Kelly,Kennedy,Technical brewer,http://gibson.com/,+1-032-534-5779x0873,bennetthenry@gmail.com,scraped,48
Li-Cox,https://www.martinez-king.com/,Real Estate,Custom Software,B2B,680,$50M+,2013,A,Gibsonside,IL,553-636-9711x4488,https://ramos.org/,Jesse,Henderson,Hydrologist,http://www.jackson.com/,001-055-151-5116,griffinjames@gmail.com,manual,43
"Stanley, Rivera and Adams",http://www.torres-colon.com/,Finance,Accounting Tools,B2B2C,592,$10M-$50M,1998,B,West Michael,MO,833-868-7015,https://gonzalez.org/,Gina,Hernandez,Set designer,https://martinez-jackson.net/,(400)200-6286,,scraped,25
Melendez-Barton,https://padilla.com/,Education,EHR Systems,B2B,39,$1M-$10M,2018,A+,Port Alexis,VA,001-943-910-5598x6512,,Chad,Benton,Operational investment banker,,953.210.7581x3836,,manual,50
Glenn and Sons,https://www.thomas.biz/,Software Development,Mobile Apps,B2C,894,$50M+,2010,B,Jonathanport,OK,+1-287-294-4437x56600,http://www.schwartz.com/,Kristen,Tucker,TEFL teacher,https://turner.net/,+1-007-466-3235x13365,,manual,30
Simon LLC,https://guzman.com/,Real Estate,e-Learning,B2C,451,$1M-$10M,2006,C,Elizabethview,ND,185-301-1195x77696,,Mark,Nixon,Oncologist,,2359608783,,scraped,20
Smith-Potter,http://www.parsons-anderson.com/,Software Development,e-Learning,B2B,361,$500K-$1M,2022,A+,South Marthashire,NM,+1-942-700-3313x9715,,Daniel,Kline,Financial controller,,769-267-9188x72965,,scraped,35
Garcia PLC,https://www.moss.com/,Healthcare,Mobile Apps,B2B2C,258,$500K-$1M,2005,C,East Angela,VT,001-199-174-6056x1886,http://miranda-gibson.com/,Gail,Buck,Amenity horticulturist,https://www.macias.biz/,001-106-884-3593x44525,,scraped,15
"Middleton, Griffin and Fuller",https://www.garcia.com/,Education,EHR Systems,B2B,107,$50M+,2017,NR,West Shawnland,NM,416-300-0099x605,,Joshua,Mason,Soil scientist,,(811)246-3783,,manual,25
Robinson PLC,https://www.kemp-rubio.com/,Retail,Custom Software,B2B,689,$10M-$50M,2011,C,Scottstad,AZ,001-031-725-6593x23611,,Jeff,Peterson,Youth worker,,+1-011-529-8193,robert83@yahoo.com,scraped,35
"Perry, Kim and Wise",https://ortega.biz/,Education,e-Learning,B2C,644,$50M+,1996,C,Spencerport,MT,851-230-5823x782,http://cole.com/,Karen,Osborne,Clinical cytogeneticist,http://www.mcbride.com/,(740)753-5359,franksullivan@gmail.com,manual,25
"Davies, Williams and Gray",https://www.soto.info/,Healthcare,Accounting Tools,B2C,129,$10M-$50M,1999,C,North John,MS,(743)584-1625,,Brittany,Kennedy,"Surveyor, insurance",,994.493.3952x2888,meyerconnie@williams.net,scraped,25
Norton LLC,https://arias.org/,Healthcare,CRM,B2B2C,365,$500K-$1M,2002,A,Smithhaven,WI,(314)717-5030,https://harris.com/,Hannah,Benitez,Nature conservation officer,http://www.hernandez.com/,(949)065-0386,johnsonkimberly@yahoo.com,manual,33
"Grant, Medina and Wells",https://smith.com/,Retail,e-Learning,B2B,445,$500K-$1M,1993,NR,Wattsview,AZ,(479)645-6961x958,https://www.leonard.com/,Benjamin,Hoffman,"Sound technician, broadcasting/film/video",https://roberts-hayes.com/,(751)844-1893x81689,,scraped,25
"Reid, Cabrera and Gutierrez",https://rogers.net/,Finance,Accounting Tools,B2C,315,$50M+,2000,B,Whiteland,IN,627.392.3826x35875,http://king-lester.com/,Jennifer,Porter,Administrator,https://kline.com/,+1-353-411-7257x23344,cruzdavid@gmail.com,manual,25
Shah-Martin,http://www.jackson.com/,Retail,EHR Systems,B2B,439,$50M+,2013,A+,North Brianview,WA,630-083-1324,https://patel.biz/,Daryl,Shelton,"Lecturer, higher education",http://www.salinas.com/,+1-083-658-9914x97380,,scraped,35
Wallace-Craig,https://palmer.com/,Healthcare,Mobile Apps,B2C,682,$50M+,2023,C,East Virginiamouth,IL,496.126.4767,https://www.gomez.com/,Jonathan,Krueger,Patent attorney,https://roberts.biz/,001-809-285-2458x214,,scraped,10
Page LLC,http://gibson-howard.info/,Finance,EHR Systems,B2B2C,789,$1M-$10M,2021,B,Lake Jesse,IA,+1-177-331-6618x843,,Jacob,Cook,Musician,,(864)008-7565x86363,,scraped,15
Crawford-Stewart,http://www.gilbert-thomas.info/,Software Development,Custom Software,B2B,585,$50M+,2000,A,Thomasburgh,UT,034-600-0659x455,,Caroline,Clarke,Financial risk analyst,,575.275.5881,martineric@yahoo.com,manual,48
"Pena, Campbell and Owen",https://www.hoffman.net/,Healthcare,EHR Systems,B2B,949,$1M-$10M,2016,A,North Samuelville,SC,001-353-348-2174x2577,https://tyler.info/,Barbara,Osborn,Biomedical engineer,http://mclaughlin.com/,6057157895,sarahlewis@gmail.com,manual,53
Cohen-Dougherty,http://www.martin.info/,Education,EHR Systems,B2C,462,$1M-$10M,1992,A+,Lake Anthony,HI,535.184.0122x26690,,Elijah,Campbell,Rural practice surveyor,,+1-275-444-6159,gwright@ferguson.net,scraped,35
Walker Ltd,https://rivera.info/,Finance,EHR Systems,B2B,866,$10M-$50M,2007,B,Murillofort,NC,913-075-9783,,Rachel,Rodriguez,Chartered public finance accountant,,+1-210-661-7612,,manual,35
Vega-Wallace,https://evans.com/,Real Estate,e-Learning,B2B2C,690,$1M-$10M,2020,B,South Angelica,MS,351.157.8620x350,,Donald,Sanchez,Retail banker,,638.606.3075x259,,manual,20
Lee PLC,http://www.fry.com/,Finance,e-Learning,B2B2C,768,$10M-$50M,2014,B,Morrisonburgh,CO,(777)811-9839x98481,,Adam,Carpenter,Chartered loss adjuster,,+1-017-971-4115,pwilson@jennings.com,manual,30
Black-Hicks,https://www.lee-rios.biz/,Healthcare,Accounting Tools,B2B,990,$500K-$1M,2011,A+,Estesview,NJ,247-427-4058,,Lori,Castro,Maintenance engineer,,969.888.4373,,scraped,30
Cox-Martinez,http://mercer.net/,Real Estate,EHR Systems,B2C,776,$50M+,2024,A,South Gabrielton,MN,392.779.5062,https://www.waller.com/,Elizabeth,Perez,Sport and exercise psychologist,http://www.fowler.com/,309.646.1695x05117,boydjacob@hotmail.com,manual,28
"Compton, Smith and Wood",http://www.gonzalez.info/,Education,CRM,B2B2C,253,$500K-$1M,2007,B,Lake Charlesland,ID,079-721-2952x648,,Steven,Garcia,"Therapist, drama",,(807)027-1635x4463,,scraped,10
Schmidt-Rojas,http://www.livingston.com/,Retail,EHR Systems,B2B2C,404,$50M+,2022,C,New Pamelaport,CA,+1-424-847-8330x4705,,Melinda,Anderson,"Scientist, research (physical sciences)",,397-842-5386x3882,,scraped,5
Hudson-Edwards,https://www.flowers.com/,Education,Mobile Apps,B2B2C,549,$500K-$1M,2016,A+,New Regina,KY,(408)681-1624,http://www.white-ali.com/,Sarah,Meyers,Interior and spatial designer,http://johnson.biz/,+1-233-391-5976,,scraped,25
"Johnson, Yates and Williams",https://www.jones-kelley.com/,Real Estate,CRM,B2B2C,983,$500K-$1M,2002,NR,Shellyhaven,WY,+1-209-026-1220x017,,Erica,Manning,"Education officer, environmental",,+1-756-188-4464x9720,michael16@hotmail.com,manual,20
"Sosa, Thomas and Williams",https://www.smith-charles.org/,Healthcare,e-Learning,B2C,266,$1M-$10M,2010,A+,South Jeanette,CO,053-221-0863x59463,,Austin,Stephenson,Social worker,,177.812.9846x7645,cortezkaren@yahoo.com,scraped,35
"Williamson, Bennett and Smith",https://www.marks.com/,Software Development,e-Learning,B2B2C,908,$1M-$10M,2010,C,East Victoriaport,NY,+1-865-103-1324x270,http://www.jones.com/,Jennifer,Davis,"Surveyor, insurance",https://thomas.com/,3863639557,,manual,40
Campbell Ltd,https://king-palmer.info/,Retail,e-Learning,B2B,681,$50M+,2022,B,Brettville,KY,+1-474-497-1828,,John,Nichols,Chiropractor,,+1-977-206-4761x3769,williamsmargaret@yahoo.com,scraped,20
Edwards-Clements,http://www.trevino-velazquez.com/,Healthcare,e-Learning,B2C,713,$50M+,2016,C,West Angelicaland,AL,(982)091-8944,,Chris,Cooper,Immunologist,,(975)263-9716x739,,scraped,10
Brown-Hodge,https://harrison-clayton.org/,Retail,Mobile Apps,B2B,372,$1M-$10M,2016,C,New Kelseymouth,NY,+1-266-674-8669x17406,,Sarah,Wallace,IT sales professional,,(036)635-1429,crice@hotmail.com,scraped,35
Reid and Sons,https://robinson-shah.com/,Education,Mobile Apps,B2B,223,$10M-$50M,2012,C,Danielberg,UT,001-577-999-3357,http://brown-anderson.biz/,Brian,Harvey,Trade mark attorney,http://www.fleming.com/,+1-723-060-0696x60882,,manual,40
Bryant-Kim,http://bailey.com/,Education,Mobile Apps,B2C,581,$500K-$1M,1998,A+,Lake Haroldfurt,SC,531.735.4174,http://www.wilson-chang.com/,Kimberly,Reyes,Manufacturing engineer,http://castro.com/,301-954-5339x2092,,manual,30
"Boone, Rose and Whitaker",https://www.perry-robbins.biz/,Software Development,Accounting Tools,B2C,30,$500K-$1M,2001,C,West Dylanville,AL,(364)717-8767x004,http://www.lopez-hancock.com/,Jeffrey,Brooks,Heritage manager,http://brady.com/,001-131-632-8040x55604,davidwalsh@gmail.com,manual,40
"Baldwin, Allen and Cooper",https://rodriguez-green.info/,Real Estate,EHR Systems,B2C,28,$10M-$50M,2006,B,Holand,MI,543.824.7068x161,,Ashley,Johnson,Communications engineer,,666-666-7598,,manual,30
Santos-Hull,http://paul-castillo.biz/,Real Estate,CRM,B2B2C,970,$500K-$1M,2022,B,South Heidi,VT,123-630-1055x169,https://www.hansen.com/,Taylor,Harvey,Hotel manager,http://www.montgomery.net/,+1-002-306-9741x495,keith16@rodriguez-hansen.com,scraped,15
Chapman Ltd,https://hancock-clark.com/,Software Development,EHR Systems,B2B2C,700,$1M-$10M,1995,B,North Travis,NM,001-688-037-1161x780,https://brown-thomas.com/,Alexa,Holt,Interpreter,http://shah.com/,(549)683-6024x61782,,manual,40
Jones-Beard,https://www.rice.net/,Real Estate,CRM,B2C,635,$1M-$10M,1994,A,West Zachary,SC,812.408.8334x239,,Matthew,May,"Administrator, charities/voluntary organisations",,864.331.5122x60745,,manual,33
Lee and Sons,https://smith.net/,Healthcare,EHR Systems,B2B2C,360,$500K-$1M,2004,A,East Jennifer,VT,001-797-106-9328x9218,,Ian,Castillo,Copy,,001-871-423-7146x600,,manual,23
"King, Brown and Mcbride",https://summers-haynes.org/,Education,CRM,B2B2C,153,$500K-$1M,2012,C,Yorkmouth,MS,(206)901-4987,https://johnson.com/,Steven,Garcia,"Psychotherapist, child",http://www.hansen.com/,370-877-1587x54640,,scraped,15
House-Mueller,https://martinez.com/,Finance,Accounting Tools,B2B2C,798,$50M+,2010,B,East Russellton,WV,+1-979-305-7450x7047,,Tara,Harris,Legal executive,,867.947.4200,,manual,15
"Cummings, Mcgee and Good",http://martinez-martin.com/,Real Estate,CRM,B2C,860,$10M-$50M,2020,B,East Clinton,RI,(671)544-5590x514,https://www.williamson.com/,Tanya,Mclaughlin,Land/geomatics surveyor,https://www.solomon.org/,665.871.9454x597,,scraped,20
Briggs PLC,https://www.moore.com/,Finance,Custom Software,B2B,659,$10M-$50M,2023,B,Lake Veronica,SC,375.298.7938,https://montoya.info/,Jill,Johnson,"Scientist, marine",http://mason-bowman.info/,820.895.0323x97022,rachelrichards@perkins.com,manual,40
Steele-Green,https://oconnor.com/,Real Estate,Mobile Apps,B2C,453,$500K-$1M,2012,A,Lake Eric,CT,749.344.7533x0106,,Carla,Peterson,Copy,,452.239.4447x31413,taylorkathleen@harrison.com,manual,28
Jones Inc,http://gould-richardson.com/,Healthcare,CRM,B2B2C,859,$1M-$10M,2020,A+,Smithshire,MI,001-916-931-7719x57193,,Stephen,Wheeler,Claims inspector/assessor,,7524180617,,manual,30
Chavez-Crosby,http://black-torres.com/,Software Development,CRM,B2B,18,$10M-$50M,2017,NR,Virginiatown,MT,624.302.7805,,Kristina,Sutton,Fitness centre manager,,(315)953-7188x4405,meagan58@yahoo.com,scraped,50
"Clark, Gonzalez and Reynolds",https://www.kim-harris.com/,Education,Custom Software,B2C,978,$10M-$50M,1998,A+,East Samantha,HI,047-152-0910x282,https://www.gomez.com/,Jennifer,Richards,Public affairs consultant,https://www.davis.info/,(694)203-5489x726,kristiemoore@green.net,manual,45
Burnett-Fuller,https://www.spencer-turner.com/,Real Estate,EHR Systems,B2B,590,$10M-$50M,2019,C,Lake Rebecca,SD,510.780.7202,,Ashley,Sanders,Visual merchandiser,,2943338901,,manual,35
"Maynard, Taylor and Parker",http://www.scott.com/,Finance,Custom Software,B2B2C,625,$50M+,1991,A+,North Alfred,KS,(422)579-0414x53790,,Melinda,Wu,Charity officer,,001-321-365-8859x71322,kimberly93@chambers.biz,scraped,25
Reed-Henderson,https://johnson.com/,Retail,EHR Systems,B2B2C,697,$50M+,1999,A,Kimberlyland,AL,+1-343-003-6800,,Patrick,Bishop,Contractor,,206-776-8449x90434,,scraped,18
Williams-Jones,http://www.flowers.com/,Real Estate,e-Learning,B2C,425,$1M-$10M,1990,A,New Gina,TN,9236451426,,Madison,Lloyd,Air cabin crew,,+1-658-974-7344,csmith@martinez-soto.com,manual,38
Boyer Inc,http://wilson-smith.org/,Software Development,Mobile Apps,B2B2C,114,$500K-$1M,1995,NR,South Nataliebury,NH,1103730777,,Ashlee,Miller,Agricultural consultant,,944-253-7126x788,john78@rogers.org,scraped,25
Cooper PLC,https://salazar.info/,Finance,CRM,B2C,460,$500K-$1M,2011,A+,Lisaton,NJ,440.505.2969x3082,,Angela,Pham,Materials engineer,,042.608.0231x7013,,scraped,20
"Clark, Smith and Gardner",https://floyd-peters.biz/,Finance,Mobile Apps,B2B2C,383,$10M-$50M,2013,A,Hendersonburgh,NV,001-718-084-8292x738,http://hill-nichols.info/,Victoria,Brown,Land/geomatics surveyor,https://lutz.info/,8180886065,wsmith@yahoo.com,scraped,38
Wood-Murray,https://www.nelson.com/,Real Estate,Custom Software,B2C,981,$1M-$10M,2006,B,New Courtney,WI,+1-214-521-4936x2488,,Michael,King,Tax adviser,,183-413-5433,blairadam@gmail.com,manual,30
Williams Group,http://www.watkins.org/,Finance,Custom Software,B2C,605,$10M-$50M,2016,A,South Jessetown,FL,+1-474-201-9465x21577,https://brown-brewer.com/,Joanna,Saunders,Interior and spatial designer,https://www.brown.com/,001-870-431-2558x7563,padillaheidi@hotmail.com,manual,43
"Manning, Mcbride and Watkins",http://young.biz/,Healthcare,Custom Software,B2C,292,$1M-$10M,1990,A,Port Anita,AR,141-575-6994x7954,,Valerie,Kaufman,Dramatherapist,,074-848-9389,scott55@hotmail.com,manual,38
Parker-Harvey,http://www.mitchell-miller.net/,Real Estate,CRM,B2B2C,785,$1M-$10M,1993,A,South Alexaborough,GA,190.813.5376,http://hartman.com/,Richard,Fuentes,Phytotherapist,https://www.burgess-coleman.com/,001-968-857-6433x5360,,manual,38
Mckinney Ltd,http://www.bradford.com/,Education,Accounting Tools,B2B,422,$10M-$50M,2009,A,Benjaminfurt,ME,001-893-851-5783x65079,http://york-hubbard.biz/,Heather,Durham,Training and development officer,http://hall.com/,001-399-788-2776x261,johnfrey@moore.org,manual,53
"Roberts, Powers and Gomez",https://gregory.biz/,Healthcare,Mobile Apps,B2B,914,$1M-$10M,2000,B,South Christian,NM,001-421-969-0403x047,https://hicks.info/,Adam,Allen,Network engineer,https://www.espinoza.com/,347-572-6483x14127,sanchezgary@gilmore.com,manual,45
Smith Group,https://avila.com/,Real Estate,Mobile Apps,B2B,849,$50M+,1997,B,Luisport,WA,+1-350-757-9507x2890,,Alexander,Lopez,Ergonomist,,320-621-1696x2823,,scraped,20
"Jackson, White and Garcia",https://bass-evans.com/,Healthcare,Accounting Tools,B2B2C,134,$500K-$1M,2002,NR,Port Hectorhaven,KY,(199)966-0695x90768,https://murphy.com/,Vernon,Berger,Systems developer,http://figueroa.com/,1055709585,brownbrett@perez.biz,scraped,20
Anderson-Guerrero,http://www.meyers.com/,Education,e-Learning,B2C,112,$50M+,2003,B,Annamouth,WA,486-493-8956,https://garza.com/,Michael,Fuentes,Charity officer,http://contreras-west.net/,001-530-044-7305x8665,nwilliams@rodriguez-haynes.com,manual,25
Schneider Inc,https://www.lee.org/,Software Development,e-Learning,B2C,698,$500K-$1M,1993,NR,Jasmineport,OR,497-062-5540x223,,Beth,Hubbard,Multimedia specialist,,+1-406-861-5397x72505,alejandracasey@shields.com,scraped,25
Hamilton Inc,http://www.ramirez-mason.com/,Software Development,Accounting Tools,B2B2C,460,$500K-$1M,1997,A,Port Thomas,WV,(333)664-1930x63052,https://www.bell.com/,Gary,Lawson,International aid/development worker,https://strickland.biz/,001-392-113-1469x151,perezmakayla@white-gomez.com,scraped,38
Sutton-Jones,https://www.watson.biz/,Finance,e-Learning,B2B2C,742,$1M-$10M,2001,B,East Stephen,AR,(099)113-8821x81637,https://www.zavala.com/,Jennifer,Warner,Contracting civil engineer,https://brock-lutz.com/,+1-792-883-5892x278,,scraped,25
"Khan, Wilson and Dodson",https://wagner.com/,Retail,Mobile Apps,B2B,777,$1M-$10M,2010,A+,Lynchside,KS,+1-974-819-6217x4415,,Tony,Roman,Games developer,,(145)247-1777x9891,,scraped,40
Young Inc,https://www.montgomery.com/,Healthcare,Accounting Tools,B2B,60,$10M-$50M,2019,A,North Francis,AR,382-090-5222,http://callahan.org/,Sandra,Burnett,Technical author,http://www.payne.net/,210.587.7789,gardnerdeborah@yahoo.com,manual,58
Flores Ltd,http://www.ford-rodriguez.org/,Education,EHR Systems,B2B2C,730,$500K-$1M,2021,C,Lake Jennifer,WI,001-713-834-3618x14167,,Philip,Wilson,Arts development officer,,817.477.8437,cheryllopez@allen-fleming.com,scraped,10
Whitney Ltd,http://williams.com/,Finance,Mobile Apps,B2B,808,$500K-$1M,2007,NR,Meltonfort,WY,001-227-521-0451x6015,https://rose-mora.com/,Beverly,Alexander,Race relations officer,http://www.hebert.info/,(217)214-5520x25357,,manual,30
Morris LLC,https://rodriguez-williams.com/,Finance,Mobile Apps,B2B,918,$1M-$10M,2002,A,Tammyville,MT,2846408035,http://morgan-king.org/,Natasha,Bradley,Race relations officer,http://miller.com/,+1-633-899-4866x4917,williamsbenjamin@hotmail.com,manual,53
Wilson Ltd,http://medina.com/,Education,e-Learning,B2B2C,359,$500K-$1M,1999,B,Port Jacqueline,TX,168.300.0639,,David,Cole,Counsellor,,001-121-007-8443x1391,,scraped,10
"Davidson, Black and Reyes",http://www.mendoza-young.com/,Retail,Custom Software,B2B2C,963,$10M-$50M,2008,NR,North Jamesmouth,NV,001-673-979-8448x6909,https://baker-schwartz.com/,Joy,Bond,Herpetologist,https://figueroa.info/,053.152.7056,,manual,30
"Wright, Rodgers and Howe",http://bush.info/,Software Development,EHR Systems,B2C,179,$500K-$1M,2003,A,West Jennifer,KS,(623)895-9587,,Billy,Hernandez,"Scientist, biomedical",,490.473.4722x291,,scraped,28
Robinson PLC,https://graham.biz/,Healthcare,EHR Systems,B2B,698,$50M+,1995,B,Port Danielleport,NC,(633)872-5791,,Melissa,Hernandez,Colour technologist,,681.505.3634x3389,mhall@cook.com,scraped,25
